offense_id,report_date,nibrs_description,incident_description,case_status,full_address,city,zip,x,y
2026001299,2026-02-12 11:10:00,LARCENY - THEFT FROM BUILDING,,OPEN/INACTIVE,700 Block of Blue Ridge Rd,Columbia,,-92.33250579894515,38.98325584044447
2026001278,2026-02-11 11:22:00,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,OPEN/INACTIVE,1700 Block of Parkade Blvd,Columbia,,-92.34361677351173,38.97035131959782
2026001274,2026-02-11 11:12:00,ASSAULT-SIMPLE,,OPEN/INACTIVE,400 Block of N Stadium Blvd,Columbia,,-92.37141150264632,38.95794786470621
2026001276,2026-02-11 10:46:00,SEXUAL ASSAULT/ABUSE INVESTIGATION,,OPEN/INACTIVE,600 Block of E Walnut St,Columbia,,-92.33053448063268,38.952633415053576
2026001268,2026-02-11 10:36:00,LARCENY - THEFT FROM MOTOR VEHICLE,,OPEN/INACTIVE,1300 Block of Stags Ct,Columbia,,-92.32130014204664,38.921538118407646
2026001265,2026-02-11 10:28:00,ASSAULT-SIMPLE,,CLEARED BY ARREST,700 Block of E Broadway,Columbia,,-92.32863543345981,38.951545932139425
2026001261,2026-02-11 09:06:00,TRESPASS REAL PROPERTY,,CLEARED BY ARREST,100 Block of E Forest Ave,Columbia,,-92.33548037493945,38.963028829123346
2026001263,2026-02-11 08:59:00,LARCENY - SHOPLIFTING,,OPEN/INACTIVE,2900 Block of Paris Rd,Columbia,,-92.2958244498334,38.97914041249424
2026001262,2026-02-11 08:43:00,DRUG/NARCOTIC-AMPHETAMINES,,ACTIVE/PENDING WARRANT,4400 Block of Clark Ln/Crump Ln,Columbia,,-92.26965136083751,38.96360181337835
2026001260,2026-02-11 08:41:00,ASSAULT-SIMPLE DOMESTIC,,CLEARED BY ARREST,2400 Block of W Broadway,Columbia,,-92.37585513900515,38.95429332427905
2026001255,2026-02-11 07:08:00,OTHER OFFENSE-WARRANT,,CLEARED BY ARREST,100 Block of S Eighth St,Columbia,,-92.3286541778372,38.95025988427189
2026001253,2026-02-10 20:59:00,TRAFFIC ARREST-SUSPENDED/REVOKED/NO DL,,CLEARED BY ARREST,700 Block of Cherry St/S Eighth St,Columbia,,-92.32864683451578,38.95049857564183
2026001252,2026-02-10 20:08:00,TRAFFIC ARREST-SUSPENDED/REVOKED/NO DL,,CLEARED BY ARREST,200 Block of N Providence Rd,Columbia,,-92.33413715090113,38.95390282911233
2026001244,2026-02-10 16:11:00,SODOMY,,OPEN/INACTIVE,2800 Block of Blackfoot Rd,Columbia,,-92.36966960461953,38.98522158205486
