Case Number,Date/Time Reported,Location of Occurence,Domestic DV Relationship,Incident Type,Criminal Offense,Disposition
Case Number,Date/Time Occured,Location of Occurence,Domestic DV Relationship,Incident Type,Criminal Offense,Disposition
202600207,02/14/2026 12:30:00 am,"820 CONLEY AVE , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,CLEARED BY ARREST
202600207,02/14/2026 12:30:00 am-02/14/2026 12:30:00 am,"820 CONLEY AVE , COLUMBIA MO, 65201",NO,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,CLEARED BY ARREST
202600201,02/13/2026 02:54:35 pm,"1199 E STADIUM BLVD/S COLLEGE AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600201,02/13/2026 02:53:34 pm-02/13/2026 02:54:35 pm,"1199 E STADIUM BLVD/S COLLEGE AVE , COLUMBIA MO, 65201",NO,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202600199,02/12/2026 08:40:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - PARAPHERNALIA / EQUIPMENT,EXCEPTIONALLY CLEARED
202600199,02/12/2026 08:40:00 pm-02/12/2026 08:40:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - PARAPHERNALIA / EQUIPMENT,EXCEPTIONALLY CLEARED
202600198,02/12/2026 12:54:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202600198,02/12/2026 12:50:00 pm-02/12/2026 12:53:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201",NO,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202600197,02/12/2026 09:11:11 am,"3315 BERRYWOOD DR , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600197,02/09/2026 12:00:00 am-02/12/2026 09:11:11 am,"3315 BERRYWOOD DR , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600197,02/12/2026 09:11:11 am,"3315 BERRYWOOD DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,LARCENY - OTHER,ACTIVE
202600197,02/09/2026 12:00:00 am-02/12/2026 09:11:11 am,"3315 BERRYWOOD DR , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,LARCENY - OTHER,ACTIVE
202600196,02/12/2026 08:45:00 am,"812 N KEENE ST , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,LARCENY - OTHER,ACTIVE
202600196,02/09/2026 12:00:00 am-02/12/2026 08:45:00 am,"812 N KEENE ST , COLUMBIA MO, 65201",NO,PROPERTY DAMAGE,LARCENY - OTHER,ACTIVE
202600196,02/12/2026 08:45:00 am,"812 N KEENE ST , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600196,02/09/2026 12:00:00 am-02/12/2026 08:45:00 am,"812 N KEENE ST , COLUMBIA MO, 65201",NO,LARCENY - OTHER,LARCENY - OTHER,ACTIVE
202600195,02/12/2026 03:45:00 am,"1133 ASHLAND RD , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202600195,02/12/2026 03:30:59 am-02/12/2026 03:45:00 am,"1133 ASHLAND RD , COLUMBIA MO, 65201",NO,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202600193,02/11/2026 08:17:00 pm,"799 S COLLEGE AVE/ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202600193,02/11/2026 08:17:00 pm-02/11/2026 08:17:00 pm,"799 S COLLEGE AVE/ROLLINS ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202600191,02/11/2026 02:43:00 am,"1507 CAPEN PARK DR , COLUMBIA MO, 65201",NO,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202600191,02/11/2026 02:42:59 am-02/11/2026 02:43:00 am,"1507 CAPEN PARK DR , COLUMBIA MO, 65201",NO,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202600191,02/11/2026 02:43:00 am,"1507 CAPEN PARK DR , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202600191,02/11/2026 02:42:59 am-02/11/2026 02:43:00 am,"1507 CAPEN PARK DR , COLUMBIA MO, 65201",NO,DRUG - NARCOTIC,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202600190,02/11/2026 03:13:00 am,"1412 RANGE LINE ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,ASSAULT-AGGRAVATED,ASSAULT-AGGRAVATED,ACTIVE
202600190,02/11/2026 03:12:59 am-02/11/2026 03:13:00 am,"1412 RANGE LINE ST , COLUMBIA MO, 65201",NO NOT APPLICABLE,ASSAULT-AGGRAVATED,ASSAULT-AGGRAVATED,ACTIVE
