Call Date,Call Time,Incident#,Address,Incident
03/16/2025,11:47 pm,2025070308,701 S PROVIDENCE RD,PRKNG LOT CHK
03/16/2025,11:46 pm,2025070307,601 S PROVIDENCE RD,PRKNG LOT CHK
03/16/2025,11:44 pm,2025070305,1140 EAST CAMPUS DR,CHK BLDG
03/16/2025,11:31 pm,2025070301,903 CHAMPIONS DR,ASST CITIZEN (POLICE)
03/16/2025,11:08 pm,2025070290,1004 TIGER AVE,LEAVING SCENE
03/16/2025,11:07 pm,2025070289,851 CHAMPIONS DR,SUSP VEH
03/16/2025,11:04 pm,2025070286,851 CHAMPIONS DR,PRKNG LOT CHK
03/16/2025,10:45 pm,2025070278,1100 RESEARCH PARK DR/S PROVIDENCE RD,T TRFC STOP
03/16/2025,10:41 pm,2025070273,804 ELM ST,PRKNG LOT CHK
03/16/2025,10:31 pm,2025070269,3 HOSPITAL DR,FOLLOW UP
03/16/2025,10:21 pm,2025070266,309 HITT ST,PROBLEM ORIENTED POLICING
03/16/2025,10:10 pm,2025070257,309 HITT ST,T TRFC STOP
03/16/2025,09:57 pm,2025070250,1004 TIGER AVE,T TRFC STOP
03/16/2025,09:40 pm,2025070237,1100 CARRIE FRANCKE DR,CHK AREA
03/16/2025,09:18 pm,2025070216,1579 CAPEN PARK DR,CHK AREA
03/16/2025,09:17 pm,2025070215,0 S PROVIDENCE RD/E GREEN MEADOWS RD,T TRFC STOP
03/16/2025,09:05 pm,2025070210,528 KENTUCKY BLVD,PRKNG VIOL
03/16/2025,09:04 pm,2025070209,1000 VIRGINIA AVE,PRKNG LOT CHK
03/16/2025,08:56 pm,2025070204,5550 S HWY 63 NB,CHK AREA
03/16/2025,08:56 pm,2025070200,799 TIGER AVE/ROLLINS ST,T TRFC STOP
03/16/2025,08:51 pm,2025070199,600 TIGER AVE/CONLEY AVE,TRFC OBSERVATION
03/16/2025,08:51 pm,2025070198,799 ROLLINS ST/MISSOURI AVE,T TRFC STOP
03/16/2025,08:47 pm,2025070195,799 MISSOURI AVE/ROLLINS ST,T TRFC STOP
03/16/2025,08:46 pm,2025070194,1 HOSPITAL DR,LARCENY
03/16/2025,08:44 pm,2025070193,600 TIGER AVE/CONLEY AVE,TRFC OBSERVATION
03/16/2025,08:43 pm,2025070192,810 ROLLINS ST,PRKNG LOT CHK
03/16/2025,08:37 pm,2025070188,0 S PROVIDENCE RD/CARTER LN,132B3 STALLED VEH
03/16/2025,08:20 pm,2025070174,1199 HOSPITAL DR/VIRGINIA AVE,T TRFC STOP
03/16/2025,08:10 pm,2025070162,3 HOSPITAL DR,ASST CITIZEN (POLICE)
03/16/2025,08:02 pm,2025070153,601 S PROVIDENCE RD,PROBLEM ORIENTED POLICING
03/16/2025,08:01 pm,2025070152,1598 S PROVIDENCE RD/MICK DEAVER DR,T TRFC STOP
03/16/2025,07:59 pm,2025070147,1264 ASHLAND RD,PRKNG LOT CHK
03/16/2025,07:55 pm,2025070144,910 CURTIS AVE,CHK AREA
03/16/2025,07:54 pm,2025070143,1024 ASHLAND RD,PRKNG LOT CHK
03/16/2025,07:53 pm,2025070142,1140 EAST CAMPUS LOOP,PRKNG LOT CHK
03/16/2025,07:53 pm,2025070141,1024 ASHLAND RD,PRKNG LOT CHK
03/16/2025,07:50 pm,2025070135,1140 EAST CAMPUS DR,FOOT PATROL
03/16/2025,07:49 pm,2025070133,810 ROLLINS ST,PRKNG LOT CHK
03/16/2025,07:49 pm,2025070131,920 EAST CAMPUS LOOP,PRKNG LOT CHK
03/16/2025,07:45 pm,2025070128,799 HITT ST/ROLLINS ST,T TRFC STOP
03/16/2025,07:33 pm,2025070121,1720 ROLLINS ST,PRKNG LOT CHK
03/16/2025,07:28 pm,2025070114,1100 VIRGINIA AVE,PRKNG LOT CHK
03/16/2025,07:24 pm,2025070109,910 CURTIS AVE,CHK AREA
03/16/2025,07:23 pm,2025070107,1504 ROLLINS ST,PRKNG LOT CHK
03/16/2025,07:21 pm,2025070105,1509 ROLLINS ST,PRKNG LOT CHK
03/16/2025,07:20 pm,2025070104,1509 ROLLINS ST,PRKNG LOT CHK
03/16/2025,07:20 pm,2025070101,1400 ROLLINS ST,PRKNG LOT CHK
03/16/2025,07:14 pm,2025070099,1 HOSPITAL DR,911 CHK
03/16/2025,07:02 pm,2025070088,699 CONLEY AVE/TIGER AVE,T TRFC STOP
03/16/2025,07:02 pm,2025070085,901 VIRGINIA AVE,T TRFC STOP
04/16/2025,11:51 pm,2025101473,1635 CAPEN PARK DR,SUSP VEH
04/16/2025,11:51 pm,2025101471,1600 CAPEN PARK DR,CHK AREA
04/16/2025,10:52 pm,2025101438,299 E BROADWAY/N PROVIDENCE RD,ASST OTHER AGENCY
04/16/2025,10:28 pm,2025101419,904 S COLLEGE AVE,PRKNG LOT CHK
04/16/2025,10:27 pm,2025101417,917 EAST CAMPUS DR,PRKNG LOT CHK
04/16/2025,10:22 pm,2025101414,1700 ROLLINS ST,PRKNG LOT CHK
04/16/2025,10:17 pm,2025101412,299 S SEVENTH ST/ELM ST,CHK SUBJ
