inci_id,address,nature,calltime,hour,DoW,day_night,Race,Age,Gender,Resident,Location,Speed,Lane Violation,Follow to Close,Fail to Signal,CVE,Other,Moving,Equipment,License,Investigative,Citation,Warning,No Action,Other Result,What Searched,Consent,Inventory,Drug_Alcohol Odor,Incident to Arrest,Plain View Contraband,Suspicion Weapon,Drug Dog,Other Basis,Search Duration,Contraband Found,Drug_Alcohol,Currency,Weapon,Stolen Property,Other Contraband,Driver Arrest,Warrant,Drug Violation,Resist Arrest,Offense Against Person,Traffic Violation,DWI BAC,Property Crime,Other Violation,Special Op,Admit Prior Use
2018000032,COLLEGE AV S-CO/ASHLAND RD-CO,TRAFFIC STOP,1/1/2018 1:04,1,Mon,night,W,18--29,F,Yes,City Street,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,Yes,No
2018000040,COLLEGE AV S-CO/STADIUM BLVD E-CO,TRAFFIC STOP,1/1/2018 1:18,1,Mon,night,B,18--29,M,Yes,State Highway,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,Yes,No
2018000045,TENTH ST N-CO/BROADWAY E-CO,TRAFFIC STOP,1/1/2018 1:37,1,Mon,night,W,40+,M,Yes,City Street,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,Yes,No
2018000050,PROVIDENCE RD S-CO/BINGHAM RD-CO,TRAFFIC STOP,1/1/2018 1:45,1,Mon,night,W,40+,M,Yes,City Street,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,Yes,No
2018000054,PROVIDENCE RD S-CO/STADIUM BLVD E-CO,TRAFFIC STOP,1/1/2018 1:49,1,Mon,night,W,30--39,M,Yes,City Street,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,Yes,No
2018000112,1612 PROVIDENCE RD N-CO,TRAFFIC STOP,1/1/2018 7:16,7,Mon,day,W,40+,F,Yes,State Highway,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000125,COLLEGE AV S-CO/HOSPITAL DR-CO,TRAFFIC STOP,1/1/2018 8:45,8,Mon,day,B,40+,M,Yes,City Street,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000175,STADIUM BLVD W-CO/CARRIE FRANCKE DR-CO,TRAFFIC STOP,1/1/2018 11:54,11,Mon,day,W,40+,M,Yes,City Street,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000193,MEXICO GRAVEL RD-CO/VANDIVER DR-CO,TRAFFIC STOP,1/1/2018 12:49,12,Mon,day,B,30--39,F,Yes,City Street,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
2018000216,CLARK LN-CO/HIGHWAY 63 CONNECTOR SB-CO,TRAFFIC STOP,1/1/2018 14:19,14,Mon,day,B,30--39,M,Yes,City Street,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,No,0,0,0,0,0,0,0,0,No,No
