inci_id,address,calltime,nature,Race,Speed,Lane Violation,Follow to Close,Fail to Signal,CVE,Other,Moving,Equipment,License,Investigative,Citation,Warning,No Action,Other Result,Age,Gender,Resident,Location,Search,Consent,Inventory,Drug_Alcohol Odor,Incident to Arrest,Plain View Contraband,Suspicion Weapon,Drug Dog,Other Basis,Search Duration,Contraband Found,Drug_Alcohol,Currency,Weapon,Stolen Property,Other Contraband,Driver Arrest,Warrant,Drug Violation,Resist Arrest,Offense Against Person,Traffic Violation,DWI BAC,Property Crime,Other Violation,hour_,DoW,day_night
2019000015,WAUGH ST/E BROADWAY,1/1/2019 0:08,T TRFC STOP,W,0,0,0,0,0,1,1,1,0,0,0,1,0,0,18--29,M,Y,CITY,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,NO,0,0,0,0,0,0,0,0,0,Tue,night
2019000039,W BROADWAY/MCBAINE AVE,1/1/2019 0:27,T TRFC STOP,W,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Under 18,M,Y,CITY,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,NO,0,0,0,0,0,0,0,0,0,Tue,night
2019000043,E BROADWAY/N OLD 63,1/1/2019 0:31,T TRFC STOP,W,0,0,0,0,0,1,1,0,0,0,0,1,0,0,18--29,F,Y,CITY,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,NO,0,0,0,0,0,0,0,0,0,Tue,night
2019000069,S SIXTH ST/CHERRY ST,1/1/2019 1:05,T TRFC STOP,W,0,0,0,0,0,1,1,0,0,0,0,1,0,0,18--29,M,Y,CITY,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,NO,0,0,0,0,0,0,0,0,1,Tue,night
2019000086,N SIXTH ST/HICKMAN AVE,1/1/2019 1:26,T TRFC STOP,W,0,0,0,0,0,1,1,0,0,0,1,0,0,1,18--29,F,Y,CITY,Driver and Property,0,0,0,0,0,0,1,0,0--15,Yes,1,0,0,0,0,YES,0,0,0,0,1,1,0,0,1,Tue,night
2019000108,500 N COLLEGE AVE,1/1/2019 1:44,T TRFC STOP,B,0,0,0,0,0,1,1,0,1,0,0,1,0,0,18--29,F,Y,CITY,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,NO,0,0,0,0,0,0,0,0,1,Tue,night
2019000130,E WALNUT ST/N COLLEGE AVE,1/1/2019 2:00,T TRFC STOP,W,0,0,0,0,0,1,1,0,0,0,1,0,0,0,18--29,M,Y,CITY,Driver ONLY,0,0,0,1,0,0,0,0,0--15,NONE,0,0,0,0,0,YES,0,0,0,0,0,1,0,0,2,Tue,night
2019000137,S STADIUM BLVD/ROLLINS RD,1/1/2019 2:13,T TRFC STOP,B,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40+,M,Y,HWY,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,NO,0,0,0,0,0,0,0,0,2,Tue,night
2019000316,4100-BLK PARIS RD,1/1/2019 12:23,T TRFC STOP,W,0,0,0,0,0,0,0,1,1,0,0,1,0,0,40+,M,Y,CITY,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,NO,0,0,0,0,0,0,0,0,12,Tue,day
2019000325,3300 PARIS RD,1/1/2019 12:33,T TRFC STOP,B,0,0,0,0,0,0,0,1,0,0,1,0,0,0,40+,M,Y,CITY,Driver and Property,1,0,1,0,0,0,0,0,0--15,Yes,1,0,0,0,0,YES,0,0,0,0,0,1,0,0,12,Tue,day
