cadcallid,street,beat,search_duration,stoptime,race,resident,gender,age_range,stoplocation,search_initiated,Reasons_For_Stop_Equipment_Violation,Reasons_For_Stop_Investigative_Violation_Equipment_Violation,Reasons_For_Stop_Investigative_Violation,Reasons_For_Stop_Investigative_Violation_Call_For_Service,Reasons_For_Stop_Investigative_Violation_Detective_or_Crime_Bulletin,Reasons_For_Stop_Investigative_Violation_Officer_Initiative,Reasons_For_Stop_Investigative_Violation_Other,Reasons_For_Stop_Interstate_Highway_Stop,Reasons_For_Stop_Investigative_Violation_RS_Drug_Activity,Reasons_For_Stop_Investigative_Violation_ALPR_Hit_or_Warrant,Reasons_For_Stop_Investigative_Violation_Matching_Suspect_Description,Reasons_For_Stop_Investigative_Violation_Observed_Crime,Reasons_For_Stop_License_or_Registration_Violation,Reasons_For_Stop_License_Plate_Violation,Reasons_For_Stop_Moving_Violation_Commercial_Vehicle_Enforcement,Reasons_For_Stop_Moving_Violation_Follow_Too_Close,Reasons_For_Stop_Moving_Violation_Fail_to_Signal,Reasons_For_Stop_Moving_Violation_Lane_Violation,Reasons_For_Stop_Moving_Violation,Reasons_For_Stop_Moving_Violation_Other,Reasons_For_Stop_Moving_Violation_Speed,Reasons_For_Stop_NA_Not_Applicable,Reasons_For_Search_Consent,Reasons_For_Search_Inventory,Reasons_For_Search_Drug/Alcohol_Odor,Reasons_For_Search_Incident_to_Arrest,Reasons_For_Search_Plain_View_Contraband,Reasons_For_Search_Reasonable_Suspicion-Weapon,Reasons_For_Search_Drug_Dog_Alert,Reasons_For_Search_Other,Reasons_For_Search_NA_No_Search_Conducted,Discovery_of_Contraband_Type_of_Contraband_Found_Drugs/Alcohol/Paraphernalia,Discovery_of_Contraband_Type_of_Contraband_Found_Currency,Discovery_of_Contraband_Type_of_Contraband_Found_Weapon,Discovery_of_Contraband_Type_of_Contraband_Found_Stolen_Property,Discovery_of_Contraband_Type_of_Contraband_Found_Other,Discovery_of_Contraband_Type_of_Contraband_Found_NA_or_No_Contraband_Found,Result_of_Stop_Citation,Result_of_Stop_Citation_Moving,Result_of_Stop_Citation_Equipment,Result_of_Stop_Citation_License_or_Registration,Result_of_Stop_Warning,Result_of_Stop_Warning_Moving,Result_of_Stop_Warning_Equipment,Result_of_Stop_Warning_License_or_Registration,Result_of_Stop_Arrest,Result_of_Stop_No_Action,Result_of_Stop_Other,Result_of_Arrest_Warrant,Result_of_Arrest_Drug_Violation,Result_of_Arrest_Resisting_Arrest,Result_of_Arrest_Offense_Against_Person,Result_of_Arrest_Traffic_Violation,Result_of_Arrest_DWI/BAC,Result_of_Arrest_Property_Crime,Result_of_Arrest_Other,Result_of_Arrest_Driver_Not_Arrested,Area_of_Search_Driver_Only,Area_of_Search_Property_Only,Area_of_Search_Driver_and_Property,Area_of_Search_No_Search
2021017066,N PROVIDENCE RD/E ASH ST,50E ,,1/20/2021 22:57,B ,Y   ,M,40+,City Street,N   ,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021108686,W SEXTON RD/W BUSINESS LOOP 70,20W ,,5/5/2021 7:38,W ,Y   ,M,40+,City Street,N   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021016764,DERBY RIDGE DR/SMILEY LN,30S ,,1/20/2021 15:56,B ,Y   ,M,40+,City Street,N   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021024932,S COLLEGE AVE/WILSON AVE,MUG2,0-15 MINUTES,1/29/2021 22:01,W ,Y   ,M,18-29,City Street,Y   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
2021077115,FORUM BLVD/WOODRAIL AVE,60W ,,3/31/2021 12:33,W ,Y   ,F,18-29,City Street,N   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021117713,E BROADWAY/N HWY 63 NB,80N ,,5/15/2021 0:59,B ,Y   ,F,18-29,City Street,N   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021306635,N PROVIDENCE RD/E WORLEY ST,20E ,,12/7/2021 4:44,W ,Y   ,F,18-29,City Street,N   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021289423,N SEVENTH ST,70D ,,11/16/2021 12:08,B ,Y   ,F,30-39,City Street,N   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021228554,SCOTT BLVD/W NORTH PINEBROOK LN,111,,9/9/2021 12:24,W ,Y   ,M,Under 18,City Street,N   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021304837,E BROADWAY/N OLD 63,80N ,,12/4/2021 22:32,W ,Y   ,F,30-39,City Street,N   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021008741,N OLD 63/E BROADWAY,70,,1/11/2021 14:53,W ,Y   ,F,40+,City Street,N   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021066329,LOCUST ST/S COLLEGE AVE,70,,3/18/2021 23:43,W ,Y   ,F,18-29,City Street,N   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021109381,S PROVIDENCE RD/CHERRY ST,50E ,,5/5/2021 21:53,W ,Y   ,M,18-29,City Street,N   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
