cadcallid,street,stoptime,beat,race,resident,sex,age,Location,srch_initiated,search_duration,Area_of_Search_Driver_Only,Area_of_Search_Driver_and_Property,Area_of_Search_No_Search,Area_of_Search_Property_Only,Discovery_of_Contraband_Type_of_Contraband_Found_Alcohol,Discovery_of_Contraband_Type_of_Contraband_Found_Currency,Discovery_of_Contraband_Type_of_Contraband_Found_Drugs_Alcohol_Paraphernalia,Discovery_of_Contraband_Type_of_Contraband_Found_Drugs_Paraphernalia,Discovery_of_Contraband_Type_of_Contraband_Found_Marijuana,Discovery_of_Contraband_Type_of_Contraband_Found_NA_or_No_Contraband_Found,Discovery_of_Contraband_Type_of_Contraband_Found_Other,Discovery_of_Contraband_Type_of_Contraband_Found_Other_Drugs,Discovery_of_Contraband_Type_of_Contraband_Found_Paraphernalia,Discovery_of_Contraband_Type_of_Contraband_Found_Stolen_Property,Discovery_of_Contraband_Type_of_Contraband_Found_Weapon,Reasons_For_Search_Consent,Reasons_For_Search_Drug_Dog_Alert,Reasons_For_Search_Drug_Alcohol_Odor,Reasons_For_Search_Drug_Alcohol_Odor_Alcohol_Odor,Reasons_For_Search_Drug_Alcohol_Odor_Marijuana_Odor,Reasons_For_Search_Drug_Alcohol_Odor_Other_Odor,Reasons_For_Search_Incident_to_Arrest,Reasons_For_Search_Inventory,Reasons_For_Search_NA_No_Search_Conducted,Reasons_For_Search_Other,Reasons_For_Search_Plain_View_Contraband,Reasons_For_Search_Reasonable_Suspicion_Weapon,Reasons_For_Stop_Equipment_Violation,Reasons_For_Stop_Equipment_Violation_Brake_Lights,Reasons_For_Stop_Equipment_Violation_Def_Windshield_or_Vision,Reasons_For_Stop_Equipment_Violation_Headlights,Reasons_For_Stop_Equipment_Violation_Improper_Exhaust_or_Muffler,Reasons_For_Stop_Equipment_Violation_License_Plate_Light,Reasons_For_Stop_Equipment_Violation_Other_Equip_Violation,Reasons_For_Stop_Equipment_Violation_Seatbelt,Reasons_For_Stop_Equipment_Violation_Taillights,Reasons_For_Stop_Equipment_Violation_Turn_Signal,Reasons_For_Stop_Equipment_Violation_Windshield_Wipers,Reasons_For_Stop_Interstate_Highway_Stop,Reasons_For_Stop_Investigative_Violation,Reasons_For_Stop_Investigative_Violation_ALPR_or_Computer_Assist,Reasons_For_Stop_Investigative_Violation_Call_For_Service,Reasons_For_Stop_Investigative_Violation_Check_Point,Reasons_For_Stop_Investigative_Violation_Detective_or_Crime_Bulletin,Reasons_For_Stop_Investigative_Violation_Matching_Suspect_Description,Reasons_For_Stop_Investigative_Violation_Observed_Crime,Reasons_For_Stop_Investigative_Violation_Officer_Initiative,Reasons_For_Stop_Investigative_Violation_Other,Reasons_For_Stop_Investigative_Violation_Pretext_Stop,Reasons_For_Stop_Investigative_Violation_RS_Drug_Activity,Reasons_For_Stop_Investigative_Violation_Welfare_Check,Reasons_For_Stop_License_Plate_Violation,Reasons_For_Stop_License_or_Registration_Violation,Reasons_For_Stop_License_or_Registration_Violation_Invalid_Drivers_License,Reasons_For_Stop_Moving_Violation,Reasons_For_Stop_Moving_Violation_Careless_and_Imprudent,Reasons_For_Stop_Moving_Violation_Commercial_Vehicle_Enforcement,Reasons_For_Stop_Moving_Violation_Distracted_Driving,Reasons_For_Stop_Moving_Violation_Fail_to_Signal,Reasons_For_Stop_Moving_Violation_Failure_to_Yield,Reasons_For_Stop_Moving_Violation_Follow_Too_Close,Reasons_For_Stop_Moving_Violation_Lane_Violation,Reasons_For_Stop_Moving_Violation_Other,Reasons_For_Stop_Moving_Violation_Red_Light_or_Stop_Sign,Reasons_For_Stop_Moving_Violation_School_or_Construction,Reasons_For_Stop_Moving_Violation_Speed,Reasons_For_Stop_Moving_Violation_Speed_1_5_MPH,Reasons_For_Stop_Moving_Violation_Speed_11_20_MPH,Reasons_For_Stop_Moving_Violation_Speed_21plus_MPH,Reasons_For_Stop_Moving_Violation_Speed_6_10_MPH,Reasons_For_Stop_NA_Not_Applicable,Result_of_Arrest_DWI_BAC,Result_of_Arrest_Driver_Not_Arrested,Result_of_Arrest_Drug_Violation,Result_of_Arrest_Offense_Against_Person,Result_of_Arrest_Other,Result_of_Arrest_Other_Weapon_Violation,Result_of_Arrest_Property_Crime,Result_of_Arrest_Resisting_Arrest,Result_of_Arrest_Traffic_Violation,Result_of_Arrest_Warrant,Result_of_Stop_Arrest,Result_of_Stop_Citation,Result_of_Stop_Citation_Equipment,Result_of_Stop_Citation_License_or_Registration,Result_of_Stop_Citation_Moving,Result_of_Stop_No_Action,Result_of_Stop_Other,Result_of_Stop_Warning,Result_of_Stop_Warning_Equipment,Result_of_Stop_Warning_License_or_Registration,Result_of_Stop_Warning_Moving,hour_stop,DoW,day_night,month
2024000808,N PROVIDENCE RD/E TEXAS AVE,2024-01-01 21:28:00.000,"10E ","W ","Y   ",M,18-29,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,21,Mon,night,January
2024000841,1310 VANDIVER DR,2024-01-01 22:29:00.000,"30S ","W ","Y   ",M,18-29,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,22,Mon,night,January
2024000803,LAKEVIEW AVE/FAY ST,2024-01-01 21:20:00.000,"30S ","B ","Y   ",M,40-64,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,21,Mon,night,January
2024000865,N PROVIDENCE RD/I70 E,2024-01-01 23:17:00.000,"10E ","B ","Y   ",F,30-39,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,23,Mon,night,January
2024000813,E STADIUM BLVD/MONK DR,2024-01-01 21:30:00.000,MUG1,"W ","Y   ",M,18-29,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,21,Mon,night,January
2024001022,I70 E/CONNECTOR,2024-01-02 05:41:00.000,"40W ","W ","N   ",M,40-64,Interstate Highway,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,05,Tue,night,January
2024001483,E BROADWAY/N WILLIAM ST,2024-01-02 16:33:00.000,"70E ","W ","Y   ",F,30-39,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,16,Tue,day,January
2024001686,W WORLEY ST/CLINKSCALES RD,2024-01-02 20:48:00.000,"20W ","B ","Y   ",M,40-64,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,Tue,night,January
2024000720,VANDIVER DR/N HWY 63 NB,2024-01-01 19:26:00.000,"40W ","W ","Y   ",F,18-29,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,19,Mon,night,January
2024000781,E STEWART RD/S PROVIDENCE RD,2024-01-01 20:58:00.000,"50E ","O ","Y   ",M,40-64,City Street,"N   ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,Mon,night,January
